Metric,Value
Trade Analysis,
total - total,19
total - open,0
total - closed,19
streak - won,"AutoOrderedDict({'current': 0, 'longest': 2})"
streak - lost,"AutoOrderedDict({'current': 1, 'longest': 2})"
pnl - gross,"AutoOrderedDict({'total': 3265.3979551104103, 'average': 171.86305026896898})"
pnl - net,"AutoOrderedDict({'total': 3063.902221381351, 'average': 161.25801165165004})"
won - total,9
won - pnl,"AutoOrderedDict({'total': 4510.799157611108, 'average': 501.1999064012342, 'max': 1394.2571037641258})"
lost - total,10
lost - pnl,"AutoOrderedDict({'total': -1446.896936229757, 'average': -144.6896936229757, 'max': -345.66097146411727})"
long - total,19
long - pnl,"AutoOrderedDict({'total': 3063.902221381351, 'average': 161.25801165165004, 'won': AutoOrderedDict({'total': 4510.799157611108, 'average': 501.1999064012342, 'max': 1394.2571037641258}), 'lost': AutoOrderedDict({'total': -1446.896936229757, 'average': -144.6896936229757, 'max': -345.66097146411727})})"
long - won,9
long - lost,10
short - total,0
short - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
short - won,0
short - lost,0
len - total,257
len - average,13.526315789473685
len - max,72
len - min,1
len - won,"AutoOrderedDict({'total': 190, 'average': 21.11111111111111, 'max': 72, 'min': 1})"
len - lost,"AutoOrderedDict({'total': 67, 'average': 6.7, 'max': 29, 'min': 1})"
len - long,"AutoOrderedDict({'total': 257, 'average': 13.526315789473685, 'max': 72, 'min': 1, 'won': AutoOrderedDict({'total': 190, 'average': 21.11111111111111, 'max': 72, 'min': 1}), 'lost': AutoOrderedDict({'total': 67, 'average': 6.7, 'max': 29, 'min': 1})})"
len - short,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
