Metric,Value
Trade Analysis,
total - total,7
total - open,1
total - closed,6
streak - won,"AutoOrderedDict({'current': 3, 'longest': 3})"
streak - lost,"AutoOrderedDict({'current': 0, 'longest': 1})"
pnl - gross,"AutoOrderedDict({'total': 3465.1363133387326, 'average': 577.5227188897887})"
pnl - net,"AutoOrderedDict({'total': 3399.1709144546253, 'average': 566.5284857424375})"
won - total,4
won - pnl,"AutoOrderedDict({'total': 4157.237389889027, 'average': 1039.3093474722568, 'max': 2468.5572762057454})"
lost - total,2
lost - pnl,"AutoOrderedDict({'total': -758.0664754344024, 'average': -379.0332377172012, 'max': -753.5549497240573})"
long - total,6
long - pnl,"AutoOrderedDict({'total': 3399.1709144546253, 'average': 566.5284857424375, 'won': AutoOrderedDict({'total': 4157.237389889027, 'average': 1039.3093474722568, 'max': 2468.5572762057454}), 'lost': AutoOrderedDict({'total': -758.0664754344024, 'average': -379.0332377172012, 'max': -753.5549497240573})})"
long - won,4
long - lost,2
short - total,0
short - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
short - won,0
short - lost,0
len - total,339
len - average,56.5
len - max,135
len - min,1
len - won,"AutoOrderedDict({'total': 269, 'average': 67.25, 'max': 135, 'min': 18})"
len - lost,"AutoOrderedDict({'total': 70, 'average': 35.0, 'max': 69, 'min': 1})"
len - long,"AutoOrderedDict({'total': 339, 'average': 56.5, 'max': 135, 'min': 1, 'won': AutoOrderedDict({'total': 269, 'average': 67.25, 'max': 135, 'min': 18}), 'lost': AutoOrderedDict({'total': 70, 'average': 35.0, 'max': 69, 'min': 1})})"
len - short,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
