Metric,Value
Trade Analysis,
total - total,112
total - open,0
total - closed,112
streak - won,"AutoOrderedDict({'current': 1, 'longest': 5})"
streak - lost,"AutoOrderedDict({'current': 0, 'longest': 9})"
pnl - gross,"AutoOrderedDict({'total': 739.5411704385524, 'average': 6.603046164629932})"
pnl - net,"AutoOrderedDict({'total': -202.07211583733297, 'average': -1.8042153199761872})"
won - total,58
won - pnl,"AutoOrderedDict({'total': 6268.9138541252705, 'average': 108.08472162284949, 'max': 517.7584497070312})"
lost - total,54
lost - pnl,"AutoOrderedDict({'total': -6470.985969962606, 'average': -119.83307351782604, 'max': -667.1257552754413})"
long - total,112
long - pnl,"AutoOrderedDict({'total': -202.07211583733297, 'average': -1.8042153199761872, 'won': AutoOrderedDict({'total': 6268.9138541252705, 'average': 108.08472162284949, 'max': 517.7584497070312}), 'lost': AutoOrderedDict({'total': -6470.985969962606, 'average': -119.83307351782604, 'max': -667.1257552754413})})"
long - won,58
long - lost,54
short - total,0
short - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
short - won,0
short - lost,0
len - total,669
len - average,5.973214285714286
len - max,32
len - min,1
len - won,"AutoOrderedDict({'total': 299, 'average': 5.155172413793103, 'max': 32, 'min': 1})"
len - lost,"AutoOrderedDict({'total': 370, 'average': 6.851851851851852, 'max': 28, 'min': 1})"
len - long,"AutoOrderedDict({'total': 669, 'average': 5.973214285714286, 'max': 32, 'min': 1, 'won': AutoOrderedDict({'total': 299, 'average': 5.155172413793103, 'max': 32, 'min': 1}), 'lost': AutoOrderedDict({'total': 370, 'average': 6.851851851851852, 'max': 28, 'min': 1})})"
len - short,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
